doc_id	score	titre	auteur	date	type	url
16	0.18819952734942658	Assembling a Cyber Range to Evaluate Artificial Intelligence / Machine Learning (AI/ML) Security Tools	Jeffrey A. Nichols	2022-01-20T22:13:34+00:00	arxiv	https://arxiv.org/abs/2201.08473v1
12	0.07033815374802026	Security Modelling for Cyber-Physical Systems: A Systematic Literature Review	Shaofei Huang	2024-04-11T07:41:36+00:00	arxiv	https://arxiv.org/abs/2404.07527v3
28	0.04161361029418833	Fundamental Concepts of Cyber Resilience: Introduction and Overview	Igor Linkov	2018-06-07T18:21:07+00:00	arxiv	https://arxiv.org/abs/1806.02852v1
